Titel,URL,Titel,URL
4traffic GbR,https://www.4traffic.de/,Der Tagesspiegel,https://www.tagesspiegel.de/
Stadt Arnsberg,https://www.arnsberg.de/,Telefónica Germany NEXT GmbH,https://www.telefonica.de/analytics.html
Auswärtiges Amt,https://www.auswaertiges-amt.de/de/open-data-schnittstelle/736118,Transparenzportal Bremen,https://www.transparenz.bremen.de/
Bundesausgleichsamt,https://www.badv.bund.de/DE/Bundesaemter/BAA/Aufgaben/start.html,Technische Universität Braunschweig - Institut für Flugführung,https://www.tu-braunschweig.de/iff
Bundesamt für Wirtschaft und Ausfuhrkontrolle,https://www.bafa.de/SiteGlobals/Forms/Suche/Infothek/,Technische Universität Hamburg-Harburg (TUHH) - Institut für Wasserbau,https://www.tuhh.de/wb/home.html
"Bundesanstalt für Gewässerkunde, Referat Geodäsie",https://www.bafg.de/DE,Technische Universität München,https://www.tum.de/
Bundesamt für Güterverkehr (BAG),https://www.bag.bund.de/DE/Home/home_node.html,UBIMET GmbH,https://www.ubimet.com/
Automatische Zählstellen,https://www.bast.de/BASt_2017/DE/,Urban Software Institute GmbH,https://www.ui.city/
Universität Siegen - Forschungsinstitut Wasser und Umwelt,https://www.bau.uni-siegen.de/fwu/,Sachsen Umweltportal,https://www.umwelt.sachsen.de
Bundesanstalt für Arbeitsschutz und Arbeitsmedizin,https://www.baua.de,"Schleßwig-Holtstein Landesamt für Landwirtschaft, Umwelt und ländliche Räume (LLUR)",https://www.umweltdaten.landsh.de
"Die Senatorin für Klimaschutz, Umwelt, Mobilität, Stadtentwicklung und Wohnungsbau",https://www.bauumwelt.bremen.de/,Umweltportal Thüringen,https://www.umweltportal.thueringen.de/opendata
Bundesanstalt für Wasserbau (BAW),https://www.baw.de,Universität Duisburg-Essen,https://www.uni-due.de/
"Bayerisches Staatsministerium des Innern, für Bau und Verkehr (Oberste Baubehörde)",https://www.baysis.bayern.de,Sächsisches Staatsministerium für Regionalentwicklung,https://www.verwaltungsatlas.sachsen.de/
"Bundesinstitut für Bau-, Stadt- und Raumforschung (BBSR) im Bundesamt für Bauwesen und Raumordnung (BBR)",https://www.bbsr.bund.de,Ministerium für Verkehr des Landes NRW,https://www.vm.nrw.de/
Bezirksregierung Arnsberg,https://www.bezreg-arnsberg.nrw.de/,VRS - Verkehrsverbund Rhein-Sieg GmbH,https://www.vrs.de/fahren/fahrplanauskunft/opendata-/-openservice
Die Bundesbeauftragte für den Datenschutz und die Informationsfreiheit,https://www.bfdi.bund.de/,Wahlen und Abstimmungen,https://www.wahlen.sachsen.de/
,,xapix.io Software GmbH,https://www.xapix.io/landing/de
,,Generalzolldirektion,https://www.zoll.de
